event_id,fire_year,year,fitted_nbr
CA3589912013419840525,1984,1984,0.11664824255269102
CA3631411886919840821,1984,1984,-0.15918193032809794
CA4095612245219850718,1985,1984,-0.2605633353580425
CA4059212068919850708,1985,1984,-0.09959576781876234
CA3665912086319860602,1986,1984,-0.01704648180138259
CA3389911714619860529,1986,1984,0.06099150277192141
CA4184912355119870830,1987,1984,-0.22048155565325994
CA3600012102719870707,1987,1984,-0.049986810707204975
CA3362611673419880602,1988,1984,-0.061352904370656845
CA3879412296619880824,1988,1984,-0.20875520887342572
CA3407511899419891029,1989,1984,-0.10396440529843119
CA3464911838419890628,1989,1984,
CA4033912181119900809,1990,1984,-0.1308914259439605
CA3305811714419900910,1990,1984,-0.024028742216342085
CA3655211908319910922,1991,1984,-0.08031774972349279
CA3876512278719911020,1991,1984,-0.21488347488362822
CA3592712121419920821,1992,1984,-0.015619489070210617
CA3622012145819920801,1992,1984,-0.1472553693323774
CA3411411897719931026,1993,1984,-0.07370615424210977
CA3407011864919931102,1993,1984,
CA3765511953619940809,1994,1984,-0.11375318585956248
CA3715011953419940912,1994,1984,-0.13270523026842282
CA3805012286419951003,1995,1984,-0.17392074729279577
CA3515211854719950829,1995,1984,
CA3520911991019960520,1996,1984,0.03327106621096749
CA3791311981819960814,1996,1984,-0.20844837288356843
CA3344711729819970904,1997,1984,-0.0936499218676942
CA3471012049419970927,1997,1984,-0.03434170154053986
CA3442211887219981018,1998,1984,-0.07118886751973058
CA3688212081319980710,1998,1984,-0.1856551882381882
CA3975712171519990823,1999,1984,-0.08465063507254167
CA3784511998419990823,1999,1984,-0.18289027943757794
CA3625712072920000803,2000,1984,-0.1028453134324769
CA3771612024820000702,2000,1984,
CA3777211886020010702,2001,1984,-0.09357492770152637
CA3396111727920010623,2001,1984,0.04553332518034025
CA4146112251620020713,2002,1984,-0.11000354588245267
CA3474011878120020618,2002,1984,-0.012901770125825242
CA3500511465220030716,2003,1984,-0.13225355051631327
CA3976112013320030720,2003,1984,0.005138768057177307
CA3796411972720041015,2004,1984,-0.11881243693160362
CA3376011738120040503,2004,1984,0.026471594712235022
CA3937412284420050809,2005,1984,
CA3508611531720050622,2005,1984,-0.023761846716906534
CA3605012069320060722,2006,1984,-0.043285613327737026
CA3528111983720060711,2006,1984,0.03958487807986257
CA3338411718020071022,2007,1984,-0.08726561851924611
CA3757311966320071029,2007,1984,-0.25864017788770327
CA3976512124820080622,2008,1984,-0.2911690935482471
CA3391911775320081115,2008,1984,-0.03753627922444777
CA4156612316620090821,2009,1984,-0.217996975026948
CA3419711786020090825,2009,1984,-0.13003762744028174
CA3334311736220100713,2010,1984,0.0016061035973644075
CA3790211905120100726,2010,1984,0.005706162964303713
CA3309811647820111001,2011,1984,-0.1223912341653495
CA3713411828320110913,2011,1984,-0.01736533970037358
CA3355611691120120814,2012,1984,-0.009889847053756421
CA3260811624320120517,2012,1984,0.017549365460240277
CA4018812160120130501,2013,1984,-0.2276981017369057
CA3881312282620131122,2013,1984,-0.1522021108205735
CA3976812365020140730,2014,1984,-0.2946961592638118
CA4122712136220140731,2014,1984,-0.18466102337356624
CA3745411858420150206,2015,1984,-0.0059236598825469075
CA4016812363920150730,2015,1984,-0.25098907646230867
CA3779911892220160804,2016,1984,-0.07776893151443594
CA3436911855620160709,2016,1984,
CA4145212338020170811,2017,1984,-0.2906942927626481
CA3589912026320170710,2017,1984,-0.0709614136537736
CA3906012314020180727,2018,1984,-0.0864514955207532
CA3511712010020180819,2018,1984,-0.020815067292737213
CA3892812226620190608,2019,1984,-0.10886145024965634
CA3433711905320191031,2019,1984,-0.033468693817761276
CA4185812335420200908,2020,1984,-0.28042367839153687
CA3375311768720201026,2020,1984,-0.020773051109035847
CA4156412340420210801,2021,1984,-0.2814071683354511
CA3658211879520210912,2021,1984,-0.20769790332143492
CA3633311865120220803,2022,1984,-0.11666627775730071
CA4090712359920220805,2022,1984,-0.31087288655965845
CA3389011707120230714,2023,1984,0.03927489088719727
CA3806111999220230909,2023,1984,-0.17666895913191025
CA3589912013419840525,1984,1985,0.017572089230986278
CA3631411886919840821,1984,1985,-0.13579109403095524
CA4095612245219850718,1985,1985,-0.05351834004183609
CA4059212068919850708,1985,1985,0.011473584849867192
CA3665912086319860602,1986,1985,0.026514027101704384
CA3389911714619860529,1986,1985,0.02091395118169282
CA4184912355119870830,1987,1985,-0.22714835483490123
CA3600012102719870707,1987,1985,-0.055863247232885035
CA3362611673419880602,1988,1985,-0.08259029651302494
CA3879412296619880824,1988,1985,-0.17857116350535382
CA3407511899419891029,1989,1985,-0.03478649044244185
CA3464911838419890628,1989,1985,-0.10535733370448695
CA4033912181119900809,1990,1985,-0.12042770837467334
CA3305811714419900910,1990,1985,-0.03718369097079629
CA3655211908319910922,1991,1985,-0.08578589419981025
CA3876512278719911020,1991,1985,-0.21488131954056222
CA3592712121419920821,1992,1985,-0.027795737062910927
CA3622012145819920801,1992,1985,-0.08960728045886374
CA3411411897719931026,1993,1985,-0.06600133899643831
CA3407011864919931102,1993,1985,-0.12850809575742073
CA3765511953619940809,1994,1985,-0.10233022633836664
CA3715011953419940912,1994,1985,-0.044060934516571094
CA3805012286419951003,1995,1985,-0.19046501345451566
CA3515211854719950829,1995,1985,-0.05251071068995138
CA3520911991019960520,1996,1985,-0.027575587518416194
CA3791311981819960814,1996,1985,-0.1967524856753116
CA3344711729819970904,1997,1985,-0.08763781606946834
CA3471012049419970927,1997,1985,-0.04216943534273509
CA3442211887219981018,1998,1985,-0.01575655213787759
CA3688212081319980710,1998,1985,-0.03138346270810904
CA3975712171519990823,1999,1985,-0.10014175045298931
CA3784511998419990823,1999,1985,-0.17285231324935324
CA3625712072920000803,2000,1985,-0.08437052802427528
CA3771612024820000702,2000,1985,-0.06106798926853535
CA3777211886020010702,2001,1985,-0.04881659639007477
CA3396111727920010623,2001,1985,0.02030322576244604
CA4146112251620020713,2002,1985,-0.10516581480172557
CA3474011878120020618,2002,1985,0.004250939058214619
CA3500511465220030716,2003,1985,-0.14430003474930533
CA3976112013320030720,2003,1985,0.011577962173920965
CA3796411972720041015,2004,1985,-0.11488836724532671
CA3376011738120040503,2004,1985,0.013219488122348282
CA3937412284420050809,2005,1985,-0.18731905179404706
CA3508611531720050622,2005,1985,-0.006314377118776779
CA3605012069320060722,2006,1985,-0.026472006698330462
CA3528111983720060711,2006,1985,0.04284862421216735
CA3338411718020071022,2007,1985,-0.0888708542774946
CA3757311966320071029,2007,1985,-0.24263062042524441
CA3976512124820080622,2008,1985,-0.29468302154387344
CA3391911775320081115,2008,1985,-0.03246670904523988
CA4156612316620090821,2009,1985,-0.20817617303320052
CA3419711786020090825,2009,1985,-0.13553465455133906
CA3334311736220100713,2010,1985,0.03132937567205081
CA3790211905120100726,2010,1985,-0.0033630523055503975
CA3309811647820111001,2011,1985,-0.0792052216231672
CA3713411828320110913,2011,1985,0.008291514196278216
CA3355611691120120814,2012,1985,-0.025267900883662046
CA3260811624320120517,2012,1985,0.03161307303854715
CA4018812160120130501,2013,1985,-0.22175465772365183
CA3881312282620131122,2013,1985,-0.15091059083822606
CA3976812365020140730,2014,1985,-0.30442438621889384
CA4122712136220140731,2014,1985,-0.18156080648000697
CA3745411858420150206,2015,1985,0.01422929554659507
CA4016812363920150730,2015,1985,-0.2582003837101907
CA3779911892220160804,2016,1985,-0.07574403181555149
CA3436911855620160709,2016,1985,-0.057306429380240984
CA4145212338020170811,2017,1985,-0.296582862145533
CA3589912026320170710,2017,1985,-0.0608985282889736
CA3906012314020180727,2018,1985,-0.15567636949198851
CA3511712010020180819,2018,1985,-0.055844435227763486
CA3892812226620190608,2019,1985,-0.09811709808953221
CA3433711905320191031,2019,1985,-0.005065091054025182
CA4185812335420200908,2020,1985,-0.2833587401870508
CA3375311768720201026,2020,1985,-0.03174149305146117
CA4156412340420210801,2021,1985,-0.2860991558349664
CA3658211879520210912,2021,1985,-0.20674840336108177
CA3633311865120220803,2022,1985,-0.12511577665251494
CA4090712359920220805,2022,1985,-0.31737997421238473
CA3389011707120230714,2023,1985,0.013802623755188786
CA3806111999220230909,2023,1985,-0.169934099238929
CA3589912013419840525,1984,1986,-0.0745922643404397
CA3631411886919840821,1984,1986,-0.15307342183238307
CA4095612245219850718,1985,1986,-0.04428284716453887
CA4059212068919850708,1985,1986,0.0003858187140042019
CA3665912086319860602,1986,1986,0.0694982607841465
CA3389911714619860529,1986,1986,0.11302202007924575
CA4184912355119870830,1987,1986,-0.22078626246407884
CA3600012102719870707,1987,1986,-0.10573008517802446
CA3362611673419880602,1988,1986,-0.0963977098272872
CA3879412296619880824,1988,1986,-0.18481174086976468
CA3407511899419891029,1989,1986,-0.09365844511614858
